"","logFC","logCPM","LR","PValue","FDR"
"PITA_06805",-10.0269441719491,2.66332340825047,92.2779200349782,7.53199844896223e-22,1.95899747659059e-18
"PITA_00209",-10.4017819040573,3.02666432619977,89.7730229602929,2.67111783438714e-21,5.78942531288126e-18
"PITA_25299",-9.17209450059816,1.84682150119562,72.6433652695484,1.55328194325086e-17,2.12627947694797e-14
"PITA_13583",-9.53942124315527,2.19534381698294,67.9256555936599,1.69777675718343e-16,2.1027369370278e-13
"PITA_05817",-4.44824724400869,3.07212646751267,52.527361611107,4.2429557570159e-13,3.34409200861292e-10
"PITA_45678",-6.34041270937028,1.80603987055043,44.7061718962655,2.28934533901012e-11,1.4177043552932e-08
"PITA_41896",-3.77456480307025,2.85082424612424,36.7868609847388,1.31775358910697e-09,4.69499357521688e-07
"PITA_46254",-3.48244712447147,7.83117817333409,35.5811982536112,2.44637400760733e-09,8.4836988751812e-07
"PITA_29196",-3.99899912162358,3.27673379344636,35.1827749290719,3.00166819305132e-09,1.02724194780358e-06
"PITA_38610",-5.29968159216441,1.28756310176481,34.9265598612353,3.42378447102942e-09,1.15648325074031e-06
"PITA_17720",-4.20011388513969,4.79596671386209,34.7252677632221,3.7967156537584e-09,1.26600996716157e-06
"PITA_26356",-2.73686480445301,5.5663892614878,34.0478750974544,5.37725985116941e-09,1.74821439336332e-06
"PITA_24919",-2.68119647854558,6.13796790870749,31.4676755599255,2.02788168108536e-08,5.61097602588822e-06
"PITA_31850",-3.73222378720493,2.36857341959202,29.946119230349,4.44220078046561e-08,1.12172038931194e-05
"PITA_22123",-2.87404670286471,4.74668896641348,29.8540001570061,4.65834778305554e-08,1.15389492847135e-05
"PITA_23069",-2.00638061388755,6.36346114761061,28.6364720455708,8.73218923503014e-08,2.02781705190981e-05
"PITA_07907",-4.13900993956727,1.34539844765271,28.0413291043892,1.18751999038552e-07,2.68575716782061e-05
"PITA_00986",-2.68874316501065,4.19037874583701,27.9182164555063,1.26552705166114e-07,2.78941466836057e-05
"PITA_22854",-3.18553680666871,2.45601250231931,27.5002736683224,1.57072278232759e-07,3.26823430764466e-05
"PITA_30250",-3.57100721280577,4.64079130247289,25.2875103383648,4.93896507151e-07,8.98020638405875e-05
"PITA_17377",-2.66857422999586,2.81129934185802,25.2746787122632,4.97193171327025e-07,8.98020638405875e-05
"PITA_42005",-4.29226633876421,1.19630709663175,22.825678800973,1.77379800028286e-06,0.000274611382079506
